form	lemma	POS
convertisquo	convertir	VERB
.	.	PUNCT
<lb/>	lb	XML
Per	per	ADP
aquo	aquò	PRON
de	de	ADP
l'	el	PRON
aima	aimar	VERB
ieu	ieu	PRON
ey	aver	VERB
bouno	bon	ADJ
intensieu	intencion	NOUN
,	,	PUNCT
<lb/>	lb	XML
Encaros	encaras	ADV
qu'	que	SCONJ
elo	el	PRON
sio	èsser	VERB
de	de	ADP
maissanto	maissant	ADJ
nasieu	nacion	NOUN
,	,	PUNCT
<lb/>	lb	XML
Et	e	CCONJ
peis	puèi	ADV
estre	èstre	VERB
nou	non	ADV
pot	poder	VERB
qu'	que	SCONJ
à	a	ADP
bé	ben	ADV
fa	far	VERB
nou	non	ADV
sio	èsser	VERB
destro	dèstre	ADJ
,	,	PUNCT
<lb/>	lb	XML
Car	car	CCONJ
ieu	ieu	PRON
vesi	véser	VERB
qu'	que	SCONJ
està	estar	VERB
an	amb	ADP
la	lo	DET
plus	plus	ADV
noblo	nòble	ADJ
Mestro	mèstre	NOUN
,	,	PUNCT
<lb/>	lb	XML
Que	qui	PRON
sio	èsser	VERB
dejoust	dejost	ADP
lou	lo	DET
cel	cèl	NOUN
,	,	PUNCT
ses	sens	ADP
la	el	PRON
flata	flatar	VERB
boussi	bocin	ADV
,	,	PUNCT
<lb/>	lb	XML
Et	e	CCONJ
degus	degus	PRON
nou	non	ADV
ly	el	PRON
sap	saber	VERB
lou	lo	DET
mendre	mendre	NOUN
maubés	mauvès	ADJ
si	si	NOUN
:	:	PUNCT
<lb/>	lb	XML
Peis	puèi	ADV
de	de	ADP
bounos	bon	ADJ
vertuts	vertut	NOUN
Dieu	Dieu	PROPN
bé	ben	ADV
lin	el	PRON
a	aver	AUX
dounados	donar	VERB
,	,	PUNCT
<lb/>	lb	XML
Que	qui	PRON
grant	grand	ADJ
noumbre	nombre	VERB
de	de	ADP
gens	gent	NOUN
ne	en	PRON
son	èsser	VERB
fort	fòrt	ADV
estounados	estonar	VERB
,	,	PUNCT
<lb/>	lb	XML
Per	per	ADP
so	çò	PRON
qu'	qui	PRON
els	el	PRON
an	aver	AUX
troubat	trobar	VERB
en	en	ADP
de	de	ADP
libres	libre	NOUN
cinq	5	NUM
cens	100	NUM
,	,	PUNCT
<lb/>	lb	XML
Que	que	SCONJ
grandour	grandor	NOUN
et	e	CCONJ
vertut	vertut	NOUN
ne	non	ADV
vont	anar	VERB
pas	pas	ADV
fort	fòrt	ADV
ensens	ensen	ADV
.	.	PUNCT
<lb/>	lb	XML
Mas	mas	CCONJ
Dieu	Dieu	PROPN
,	,	PUNCT
coumo	coma	ADV
sabets	saber	VERB
,	,	PUNCT
à	a	ADP
la	lo	DET
noblo	nòble	ADJ
Princesso	prince	NOUN
<lb/>	lb	XML
A	aver	AUX
dados	dar	VERB
prou	pro	ADV
vertuts	vertut	NOUN
,	,	PUNCT
grandour	grandor	NOUN
,	,	PUNCT
amai	amai	ADV
sagesso	sagessa	NOUN
:	:	PUNCT
<lb/>	lb	XML
Car	car	CCONJ
vous	vos	PRON
sabets	saber	VERB
tant	tant	ADV
pla	plan	ADV
coumo	coma	ADV
cap	cap	PRON
d'	de	ADP
home	òme	NOUN
vieu	viu	ADJ
<lb/>	lb	XML
Qu'	que	SCONJ
aquelo	aquel	DET
noblo	nòble	ADJ
Damo	dama	NOUN
a	aver	VERB
la	lo	DET
crento	crenta	NOUN
de	de	ADP
Dieu	Dieu	PROPN
,	,	PUNCT
<lb/>	lb	XML
Et	e	CCONJ
l'	el	PRON
adoro	adorar	VERB
tout	tot	ADV
soul	sol	ADJ
coumo	coma	ADV
son	son	DET
plus	plus	ADV
grant	grand	ADJ
mestre	mèstre	NOUN
,	,	PUNCT
<lb/>	lb	XML
Saben	saber	VERB
qu'	que	SCONJ
el	el	PRON
n'	non	ADV
y	i	PRON
a	aver	VERB
grandour	grandor	NOUN
que	qui	PRON
plus	plus	ADV
grando	grand	ADJ
pousquo	poder	VERB
estre	èstre	VERB
.	.	PUNCT
<lb/>	lb	XML
Peis	puèi	ADV
Princesso	prince	NOUN
on	òm	PRON
nou	non	ADV
sap	saber	VERB
qu'	que	SCONJ
elo	el	PRON
s'	el	PRON
estime	estimar	VERB
mens	mens	ADV
.	.	PUNCT
<lb/>	lb	XML
Quant	quant	ADV
à	a	ADP
souna	sonar	VERB
del	de+lo	ADP+DET
luth	lut	NOUN
,	,	PUNCT
et	e	CCONJ
d'	de	ADP
autres	autre	DET
estrumens	estrument	NOUN
,	,	PUNCT
<lb/>	lb	XML
Et	e	CCONJ
d'	de	ADP
oubra	obrar	VERB
de	de	ADP
l'	lo	DET
agulho	agulha	NOUN
,	,	PUNCT
el	el	PRON
n'	non	ADV
a	aver	VERB
Princesso	prince	NOUN
al	a+lo	ADP+DET
monde	monde	NOUN
,	,	PUNCT
<lb/>	lb	XML
Ni	ni	CCONJ
cap	cap	PRON
d'	de	ADP
autro	autre	PRON
atampauc	atampaux	ADV
,	,	PUNCT
qu'	qui	PRON
en	en	ADP
d'	de	ADP
aquo	aquò	PRON
la	el	PRON
segonde	segondar	VERB
,	,	PUNCT
<lb/>	lb	XML
Ni	ni	CCONJ
mai	mai	ADV
fenno	femna	NOUN
ni	ni	CCONJ
filhio	filh	NOUN
on	òm	PRON
nou	non	ADV
sap	saber	VERB
joust	jost	ADP
lou	lo	DET
cel	cèl	NOUN
,	,	PUNCT
<lb/>	lb	XML
Qu'	qui	PRON
elo	el	PRON
sapio	saber	VERB
tant	tant	ADV
pla	plan	ADV
trebalha	trabalhar	VERB
del	de+lo	ADP+DET
pincel	pincel	NOUN
:	:	PUNCT
<lb/>	lb	XML
Car	car	CCONJ
de	de	ADP
fort	fòrt	ADV
belos	bèl	ADJ
causos	causa	NOUN
à	a	ADP
my	ieu	PRON
l'	lo	PRON
on	òm	PRON
m'	ieu	PRON
a	aver	AUX
mounstrados	monstrar	VERB
,	,	PUNCT
<lb/>	lb	XML
Que	que	SCONJ
,	,	PUNCT
so	çò	PRON
m'	ieu	PRON
an	aver	AUX
dich	dire	VERB
,	,	PUNCT
Madamo	madama	NOUN
elo	el	PRON
las	el	PRON
a	aver	AUX
pintrados	pintrar	VERB
,	,	PUNCT
<lb/>	lb	XML
Que	que	SCONJ
jamay	jamai	ADV
ré	res	PRON
n'	non	ADV
ey	aver	AUX
vist	véser	VERB
que	qui	PRON
fous	èsser	AUX
milhiou	melhor	ADV
pintrat	pintrar	VERB
.	.	PUNCT
<lb/>	lb	XML
E	e	CCONJ
peis	puèi	ADV
dedins	dedins	ADP
sa	son	DET
crambo	cramba	NOUN
ieu	ieu	PRON
soy	èsser	AUX
cent	100	NUM
cops	còp	NOUN
intrat	intrar	VERB
<lb/>	lb	XML
Que	que	SCONJ
jamay	jamai	ADV
cap	cap	PRON
de	de	ADP
cop	còp	NOUN
nou	non	ADV
l'	el	PRON
ey	aver	AUX
troubado	trobar	VERB
en	en	ADP
pauso	pausa	NOUN
,	,	PUNCT
<lb/>	lb	XML
Qu'	que	SCONJ
elo	el	PRON
nou	non	ADV
legigués	legir	VERB
,	,	PUNCT
ô	o	CCONJ
fasio	far	VERB
calquo	calque	DET
causo	causa	NOUN
,	,	PUNCT
<lb/>	lb	XML
Combé	comben	ADV
que	que	SCONJ
de	de	ADP
fa	far	VERB
ré	res	PRON
,	,	PUNCT
coumo	coma	ADV
poudets	poder	VERB
penssa	pensar	VERB
,	,	PUNCT
<lb/>	lb	XML
Tant	tant	ADV
pla	plan	ADV
qu'	que	SCONJ
autre	autre	DET
Princesso	prince	NOUN
elo	el	PRON
se	el	PRON
pot	poder	VERB
passa	passar	VERB
.	.	PUNCT
<lb/>	lb	XML
Aquo	aquò	PRON
fa	far	VERB
per	per	ADP
moustra	monstrar	VERB
à	a	ADP
fennos	femna	NOUN
et	e	CCONJ
à	a	ADP
filhos	filh	NOUN
,	,	PUNCT
<lb/>	lb	XML
Qu'	que	SCONJ
elos	el	PRON
jamay	jamai	ADV
esta	estar	VERB
nou	non	ADV
deurian	dever	VERB
inutilos	inutil	ADJ
.	.	PUNCT
<lb/>	lb	XML
Elo	el	PRON
fa	far	VERB
tout	tot	ADV
aquo	aquò	PRON
per	per	ADP
lour	lor	DET
plus	plus	ADV
grand	grand	ADJ
profieh	profièch	NOUN
,	,	PUNCT
<lb/>	lb	XML
Et	e	CCONJ
peis	puèi	ADV
aprop	apròp	ADP
soupa	sopar	VERB
quant	quand	SCONJ
es	èsser	VERB
un	un	DET
petit	petit	ADJ
neh	nuèch	NOUN
,	,	PUNCT
<lb/>	lb	XML
Per	per	ADP
toutos	tot	DET
las	el	PRON
aprene	aprene	VERB
à	a	ADP
mena	menar	VERB
santo	sant	ADJ
vido	vida	NOUN
,	,	PUNCT
<lb/>	lb	XML
De	de	ADP
salmes	salme	NOUN
fa	far	VERB
canta	cantar	VERB
qu'	que	SCONJ
elo	el	PRON
tey	tenir	VERB
sa	son	DET
partido	partida	NOUN
,	,	PUNCT
<lb/>	lb	XML
Peis	puèi	ADV
aprop	apròp	ADV
fa	far	VERB
prega	pregar	VERB
per	per	ADP
touts	tot	PRON
en	en	ADP
general	general	ADJ
.	.	PUNCT
<lb/>	lb	XML
N'	non	ADV
a	aver	VERB
pas	pas	ADV
la	lo	DET
noblo	nòble	ADJ
Damo	dama	NOUN
un	un	DET
fort	fòrt	ADV
bon	bon	ADJ
natural	natural	NOUN
?	?	PUNCT
<lb/>	lb	XML
Peis	puèi	ADV
se	el	PRON
met	metre	VERB
à	a	ADP
souna	sonar	VERB
del	de+lo	ADP+DET
lut	lut	NOUN
,	,	PUNCT
ô	o	CCONJ
de	de	ADP
la	lo	DET
liro	lira	NOUN
,	,	PUNCT
<lb/>	lb	XML
O	o	CCONJ
de	de	ADP
son	son	DET
espineto	espineta	NOUN
,	,	PUNCT
et	e	CCONJ
peis	puèi	ADV
on	òm	PRON
se	el	PRON
retiro	retirar	VERB
.	.	PUNCT
<lb/>	lb	XML
Cadun	cadun	PRON
dels	de+lo	ADP+DET
que	qui	PRON
son	èsser	VERB
là	lai	ADV
peissos	puèissas	ADV
pren	prendre	VERB
son	son	DET
cami	camin	NOUN
.	.	PUNCT
<lb/>	lb	XML
Vous	vos	PRON
abets	aver	AUX
vist	véser	VERB
aqo	aquò	PRON
milhou	melhor	ADV
que	que	SCONJ
non	non	ADV
pas	pas	ADV
mi	ieu	PRON
.	.	PUNCT
<lb/>	lb	XML
Et	e	CCONJ
peis	puèi	ADV
la	lo	DET
noblo	nòble	ADJ
Damo	dama	NOUN
es	èsser	AUX
atambé	atamben	ADV
seguido	seguir	VERB
<lb/>	lb	XML
De	de	ADP
prou	pro	ADV
Damos	dama	NOUN
que	qui	PRON
menoun	menar	VERB
uno	un	DET
fort	fòrt	ADV
bouno	bon	ADJ
vido	vida	NOUN
,	,	PUNCT
<lb/>	lb	XML
Amai	amai	ADV
de	de	ADP
doumaiselos	domaisèl	NOUN
atambé	atamben	ADV
bon	bon	ADJ
troupel	tropèl	NOUN
,	,	PUNCT
<lb/>	lb	XML
Que	qui	PRON
de	de	ADP
l'	el	PRON
agulho	agulha	NOUN
fan	far	VERB
tout	tot	DET
jour	jorn	NOUN
quicom	quicòm	PRON
de	de	ADP
bel	bèl	ADJ
<lb/>	lb	XML
Per	per	ADP
lou	lo	DET
coumandamen	comandament	NOUN
de	de	ADP
la	lo	DET
noblo	nòble	ADJ
Princesso	prince	NOUN
,	,	PUNCT
<lb/>	lb	XML
Que	qui	PRON
per	per	ADP
aquo	aquò	PRON
tant	tant	ADV
fort	fòrt	ADV
aimi	aimar	VERB
sa	son	DET
Mouroulesso	morèl	NOUN
,	,	PUNCT
<lb/>	lb	XML
Encaros	encaras	ADV
qu'	que	SCONJ
elo	el	PRON
sio	èsser	VERB
ta	tant	ADV
negro	negre	ADJ
qu'	que	SCONJ
un	un	DET
carbou	carbon	NOUN
,	,	PUNCT
<lb/>	lb	XML
Me	ieu	PRON
fisan	fisar	VERB
qu'	que	SCONJ
aura	aver	AUX
apres	aprene	VERB
aqui	aquí	ADV
quicon	quicòm	PRON
de	de	ADP
bou	bon	ADJ
.	.	PUNCT
<lb/>	lb	XML
Vela	veilà	VERB
de	de	ADP
mas	mon	DET
razous	rason	NOUN
l'	lo	DET
uno	un	PRON
de	de	ADP
las	lo	DET
plus	plus	ADV
grandos	grand	ADJ
,	,	PUNCT
<lb/>	lb	XML
Peis	puèi	ADV
tout	tot	DET
jour	jorn	NOUN
ey	aver	AUX
crentat	crentar	VERB
qu'	que	SCONJ
on	òm	PRON
me	ieu	PRON
fez	far	VERB
pourta	portar	VERB
bandos	banda	NOUN
.	.	PUNCT
<lb/>	lb	XML
Per	per	ADP
aquo	aquò	PRON
maridat	maridar	VERB
enquaros	encaras	ADV
nou	non	ADV
souy	èsser	AUX
pon	ponch	ADV
,	,	PUNCT
<lb/>	lb	XML
Ieu	ieu	PRON
ey	aver	AUX
crentat	crentar	VERB
aquo	aquò	PRON
may	mai	ADV
que	que	SCONJ
causo	causa	NOUN
del	de+lo	ADP+DET
mon	monde	NOUN
,	,	PUNCT
<lb/>	lb	XML
Car	car	CCONJ
l'	lo	PRON
on	òm	PRON
dis	dire	VERB
que	que	SCONJ
lous	lo	DET
qu'	qui	PRON
an	aver	VERB
las	lo	DET
moulhés	molhèr	NOUN
par	par	ADV
trop	tròp	ADV
belos	bèl	ADJ
,	,	PUNCT
<lb/>	lb	XML
Son	èsser	VERB
sutgets	subjècte	NOUN
à	a	ADP
pourta	portar	VERB
de	de	ADP
talos	tal	DET
pimparelos	pimparèl	NOUN
.	.	PUNCT
<lb/>	lb	XML
Et	e	CCONJ
ieu	ieu	PRON
la	lo	DET
Mouroulesso	morèl	NOUN
ami	aimar	VERB
per	per	ADP
aqo	aquò	PRON
fort	fòrt	ADV
,	,	PUNCT
<lb/>	lb	XML
Me	ieu	PRON
fisan	fisar	VERB
que	que	SCONJ
jamay	jamai	ADV
nou	non	ADV
me	ieu	PRON
fario	far	VERB
tal	tal	DET
tort	tòrt	NOUN
,	,	PUNCT
<lb/>	lb	XML
Et	e	CCONJ
quant	quand	SCONJ
n'	non	ADV
acuzarian	acusar	VERB
lous	lo	DET
que	qui	PRON
l'	el	PRON
anirian	anar	VERB
veire	véser	VERB
,	,	PUNCT
<lb/>	lb	XML
Quant	quand	SCONJ
l'	el	PRON
on	òm	PRON
m'	ieu	PRON
ô	el	PRON
jurario	jurar	VERB
,	,	PUNCT
ieu	ieu	PRON
no	non	ADV
pouirio	poder	VERB
pas	pas	ADV
creire	créser	VERB
.	.	PUNCT
<lb/>	lb	XML
Qui	qui	PRON
la	el	PRON
veirio	véser	VERB
lou	lo	DET
jour	jorn	NOUN
,	,	PUNCT
nou	non	ADV
serio	èsser	VERB
pas	pas	ADV
ta	tant	ADV
fol	fòl	ADJ
<lb/>	lb	XML
Per	per	ADP
la	el	PRON
trouba	trobar	VERB
la	lo	DET
neh	nuèch	NOUN
s'	el	PRON
ana	anar	VERB
trinqa	trencar	VERB
lou	lo	DET
col	còl	NOUN
,	,	PUNCT
<lb/>	lb	XML
Jamai	jamai	ADV
per	per	ADP
la	el	PRON
garda	garda	VERB
nou	non	ADV
farey	far	VERB
sentinelo	sentinèl	NOUN
,	,	PUNCT
<lb/>	lb	XML
D'	de	ADP
elo	el	PRON
me	ieu	PRON
fizarey	fisar	VERB
mai	mai	ADV
que	que	SCONJ
d'	de	ADP
uno	un	DET
plus	plus	ADV
belo	bèl	ADJ
.	.	PUNCT
<lb/>	lb	XML
Ieu	ieu	PRON
counoessi	conéisser	VERB
fort	fòrt	ADV
pla	plan	ADV
d'	de	ADP
homes	òme	NOUN
calques	calque	DET
milhés	milhèr	NOUN
,	,	PUNCT
<lb/>	lb	XML
Que	qui	PRON
soun	èsser	VERB
tout	tot	DET
jour	jorn	NOUN
en	en	ADP
peno	pena	NOUN
à	a	ADP
garda	garda	VERB
lours	lor	DET
moulhés	molhèr	NOUN
,	,	PUNCT
<lb/>	lb	XML
Qu'	que	SCONJ
uno	un	DET
grando	grand	ADJ
fatigo	fatiga	NOUN
aquo	aquò	PRON
d'	de	ADP
aqui	aquí	ADV
deu	dever	VERB
estre	èstre	VERB
,	,	PUNCT
<lb/>	lb	XML
D'	de	ADP
abé	aver	VERB
belo	bèl	ADJ
moulhé	molhèr	NOUN
,	,	PUNCT
et	e	CCONJ
n'	non	ADV
este	èsser	VERB
pas	pas	ADV
lou	lo	DET
Mestre	mèstre	NOUN
:	:	PUNCT
<lb/>	lb	XML
Et	e	CCONJ
forsso	fòrça	ADV
d'	de	ADP
homes	òme	NOUN
son	èsser	VERB
d'	de	ADP
un	un	DET
autre	autre	ADJ
natural	natural	NOUN
,	,	PUNCT
<lb/>	lb	XML
Qu'	qui	PRON
encaros	encaras	ADV
que	que	SCONJ
lour	lor	DET
fenno	femna	NOUN
elo	el	PRON
nou	non	ADV
pense	pensar	VERB
en	en	ADP
mal	mal	ADV
,	,	PUNCT
<lb/>	lb	XML
Lour	el	PRON
semblara	semblar	VERB
tout	tot	DET
jour	jorn	NOUN
se	se	SCONJ
degus	degus	PRON
lous	el	PRON
agachio	agachar	VERB
,	,	PUNCT
<lb/>	lb	XML
Que	que	SCONJ
lour	lor	DET
moulhé	molhèr	NOUN
lour	el	PRON
a	aver	AUX
calque	calque	DET
trompario	trompar	VERB
fachio	far	VERB
,	,	PUNCT
<lb/>	lb	XML
Et	e	CCONJ
forsso	fòrça	ADV
fennos	femna	NOUN
qu'	qui	PRON
an	aver	VERB
jalouses	jalós	ADJ
lous	lo	DET
marits	marit	NOUN
,	,	PUNCT
<lb/>	lb	XML
Lous	el	PRON
fan	far	VERB
coucuts	cocut	ADJ
,	,	PUNCT
disen	dire	VERB
que	que	SCONJ
peis	puèi	ADV
sou	èsser	AUX
leu	lèu	ADV
guerits	guerir	VERB
.	.	PUNCT
<lb/>	lb	XML
Per	per	ADP
aquelo	aquel	DET
razou	rason	NOUN
ieu	ieu	PRON
aimi	aimar	VERB
fort	fòrt	ADV
la	lo	DET
Moro	mòre	NOUN
,	,	PUNCT
<lb/>	lb	XML
Car	car	CCONJ
encaros	encaras	ADV
bé	ben	ADV
qu'	que	SCONJ
elo	el	PRON
anés	anar	VERB
dourmi	dormi	VERB
deforo	defòra	ADV
,	,	PUNCT
<lb/>	lb	XML
Jamai	jamai	ADV
d'	de	ADP
elo	el	PRON
boussi	bocin	ADV
nou	non	ADV
serey	èsser	VERB
poun	ponch	ADV
jalous	jalós	ADJ
.	.	PUNCT
<lb/>	lb	XML
Encaros	encaras	ADV
calque	calque	DET
sot	sòt	NOUN
,	,	PUNCT
o	o	CCONJ
calque	calque	DET
cautelous	cautelós	ADJ
<lb/>	lb	XML
Dira	dire	VERB
perque	perqué	ADV
espousad'	esposar	VERB
ieu	ieu	PRON
ey	aver	AUX
la	lo	DET
Mouroulesso	morèl	NOUN
,	,	PUNCT
<lb/>	lb	XML
Quant	quand	SCONJ
vesi	véser	VERB
qu'	que	SCONJ
és	èsser	VERB
tant	tant	ADV
negro	negre	ADJ
,	,	PUNCT
et	e	CCONJ
n'	non	ADV
es	èsser	VERB
pas	pas	ADV
de	de	ADP
noublesso	noblessa	NOUN
.	.	PUNCT
<lb/>	lb	XML
Ieu	ieu	PRON
souy	èsser	VERB
content	content	ADJ
que	que	SCONJ
sio	èsser	VERB
ta	tant	ADV
negro	negre	ADJ
coumo	coma	ADV
un	un	DET
gorp	gòrp	NOUN
,	,	PUNCT
<lb/>	lb	XML
Car	car	CCONJ
qant	quand	SCONJ
la	el	PRON
baisarey	baisar	VERB
,	,	PUNCT
cluquarey	clucar	VERB
coumo	coma	ADV
un	un	DET
horp	òrb	NOUN
,	,	PUNCT
<lb/>	lb	XML
Et	e	CCONJ
nou	non	ADV
m'	ieu	PRON
en	en	PRON
dounarey	donar	VERB
que	qui	PRON
sio	èsser	VERB
negro	negre	ADJ
ni	ni	CCONJ
rousso	ros	ADJ
,	,	PUNCT
<lb/>	lb	XML
Mas	mas	CCONJ
que	que	ADV
tout	tot	DET
bel	bèl	ADJ
duquat	ducat	NOUN
ieu	ieu	PRON
trobi	trobar	VERB
sa	son	DET
pel	pèl	NOUN
dousso	doç	ADJ
,	,	PUNCT
<lb/>	lb	XML
Car	car	CCONJ
de	de	ADP
fennos	femna	NOUN
m'	ieu	PRON
an	aver	AUX
dich	dire	VERB
que	que	SCONJ
m'	ieu	PRON
aymon	aimar	VERB
de	de	ADP
bon	bon	ADJ
cor	còr	NOUN
,	,	PUNCT
<lb/>	lb	XML
Que	que	SCONJ
la	lo	DET
Moro	mòre	NOUN
a	aver	VERB
sa	son	DET
pel	pèl	NOUN
dousso	doç	ADJ
coumo	coma	ADV
un	un	DET
Castor	castòr	NOUN
.	.	PUNCT
<lb/>	lb	XML
Mas	mas	CCONJ
ieu	ieu	PRON
la	el	PRON
vouldrio	voler	VERB
fort	fòrt	ADV
,	,	PUNCT
combé	comben	ADV
que	que	SCONJ
nou	non	ADV
sio	èsser	VERB
blanco	blanc	ADJ
<lb/>	lb	XML
Car	car	CCONJ
ieu	ieu	PRON
cresi	créser	VERB
fort	fòrt	ADV
pla	plan	ADV
que	que	SCONJ
ré	res	PRON
pus	pus	ADV
nou	non	ADV
ly	el	PRON
manco	mancar	VERB
:	:	PUNCT
<lb/>	lb	XML
Ieu	ieu	PRON
l'	el	PRON
aimi	aimar	VERB
,	,	PUNCT
per	per	ADP
so	çò	PRON
qu'	qui	PRON
és	èsser	VERB
negro	negre	ADJ
fort	fòrt	ADV
grandamen	grandament	ADV
,	,	PUNCT
<lb/>	lb	XML
Car	car	CCONJ
ieu	ieu	PRON
ey	aver	AUX
ausit	ausir	VERB
dire	dire	VERB
à	a	ADP
gens	gent	NOUN
d'	de	ADP
entendemen	entendament	NOUN
<lb/>	lb	XML
Que	que	SCONJ
l'	lo	DET
aigo	aiga	NOUN
cal	caler	VERB
que	que	SCONJ
sio	èsser	VERB
boulhento	bolhir	VERB
,	,	PUNCT
ô	o	CCONJ
de	de	ADP
tout	tot	ADV
fregio	freg	ADJ
.	.	PUNCT
<lb/>	lb	XML
Per	per	ADP
aquo	aquò	PRON
donc	donc	ADV
la	lo	DET
Moro	mòre	NOUN
elo	el	PRON
me	ieu	PRON
fa	far	VERB
d'	de	ADP
embegio	enveja	NOUN
<lb/>	lb	XML
May	mai	ADV
qu'	que	SCONJ
uno	un	DET
que	que	SCONJ
serio	èsser	VERB
negro	negre	ADJ
calque	calque	DET
petit	petit	ADJ
,	,	PUNCT
<lb/>	lb	XML
Et	e	CCONJ
peis	puèi	ADV
ieu	ieu	PRON
souy	èsser	AUX
estat	estar	VERB
fort	fòrt	ADV
souben	sovent	ADV
abertit	avertir	VERB
<lb/>	lb	XML
Per	per	ADP
un	un	DET
bon	bon	ADJ
Medeci	medecin	NOUN
,	,	PUNCT
mas	mas	CCONJ
qu'	que	SCONJ
és	èsser	VERB
un	un	DET
pauc	pauc	ADV
Papisto	papista	NOUN
,	,	PUNCT
<lb/>	lb	XML
Que	que	SCONJ
la	lo	DET
blancour	blancor	NOUN
,	,	PUNCT
so	çò	PRON
dis	dire	VERB
,	,	PUNCT
acourchio	acorchiar	VERB
fort	fòrt	ADV
la	lo	DET
visto	véser	VERB
.	.	PUNCT
<lb/>	lb	XML
Per	per	ADP
aqo	aquò	PRON
donc	donc	ADV
la	lo	DET
Moro	mòre	NOUN
elo	el	PRON
serio	èsser	VERB
mon	mon	DET
cas	cas	NOUN
,	,	PUNCT
<lb/>	lb	XML
Et	e	CCONJ
quant	quant	ADV
à	a	ADP
mi	ieu	PRON
trop	tròp	ADV
lede	led	ADJ
ieu	ieu	PRON
nou	non	ADV
la	el	PRON
trobi	trobar	VERB
pas	pas	ADV
,	,	PUNCT
<lb/>	lb	XML
Cresi	créser	VERB
qu'	que	SCONJ
en	en	ADP
son	son	DET
pais	país	NOUN
nou	non	ADV
n'	non	ADV
a	aver	VERB
pas	pas	ADV
de	de	ADP
plus	plus	ADV
belos	bèl	ADJ
,	,	PUNCT
<lb/>	lb	XML
Sabets	saber	VERB
que	qui	PRON
crenti	crentar	VERB
ieu	ieu	PRON
?	?	PUNCT
que	que	SCONJ
calques	calque	DET
damaiselos	damaisèl	NOUN
,	,	PUNCT
<lb/>	lb	XML
Que	qui	PRON
la	lo	DET
noble	nòble	ADJ
Princesso	prince	NOUN
atambé	atamben	ADV
serbissou	servir	VERB
,	,	PUNCT
<lb/>	lb	XML
Nou	non	ADV
vouldrian	voler	VERB
ges	ges	ADV
suffri	sofrir	VERB
en	en	ADP
deguno	degun	DET
faissou	faiçon	NOUN
,	,	PUNCT
<lb/>	lb	XML
Qu'	que	SCONJ
elo	el	PRON
m'	ieu	PRON
espouze	esposar	VERB
mi	ieu	PRON
ni	ni	CCONJ
cap	cap	PRON
d'	de	ADP
autro	autre	DET
persouno	persona	NOUN
,	,	PUNCT
<lb/>	lb	XML
A	a	ADP
causo	causa	NOUN
que	que	SCONJ
la	lo	DET
Moro	mòre	NOUN
un	un	DET
grant	grand	ADJ
lustre	lustre	NOUN
lour	el	PRON
douno	donar	VERB
.	.	PUNCT
<lb/>	lb	XML
Calque	calque	DET
sot	sòt	ADJ
innoussen	innocent	ADJ
me	ieu	PRON
dira	dire	VERB
que	que	SCONJ
las	lo	DET
Moros	mòre	NOUN
<lb/>	lb	XML
Nou	non	ADV
podon	poder	VERB
fa	far	VERB
trouba	trobar	VERB
d'	de	ADP
autros	autre	PRON
belos	bèl	ADJ
ni	ni	CCONJ
horros	òrre	ADJ
:	:	PUNCT
<lb/>	lb	XML
S'	el	PRON
i	i	PRON
fan	far	VERB
per	per	ADP
lou	lo	DET
segur	segur	NOUN
tout	tot	DET
un	un	PRON
ni	ni	CCONJ
plus	plus	ADV
ni	ni	CCONJ
mens	mens	ADV
,	,	PUNCT
<lb/>	lb	XML
Coumo	coma	ADV
dous	2	DET
Musissiens	musicièn	NOUN
que	que	SCONJ
sonou	sonar	VERB
d'	de	ADP
estrumens	estrument	NOUN
,	,	PUNCT
<lb/>	lb	XML
Quant	quand	SCONJ
l'	lo	DET
un	un	PRON
souno	sonar	VERB
fort	fòrt	ADV
mal	mal	ADV
,	,	PUNCT
et	e	CCONJ
l'	lo	DET
autre	autre	PRON
fort	fòrt	ADV
plan	plan	ADV
souno	sonar	VERB
.	.	PUNCT
<lb/>	lb	XML
Un	un	DET
Violon	violon	NOUN
que	qui	PRON
ieu	ieu	PRON
sabi	saber	VERB
a	aver	VERB
sa	son	DET
sounario	sonar	VERB
bouno	bon	ADJ
<lb/>	lb	XML
Calque	calque	DET
pauc	pauc	ADV
may	mai	ADV
que	que	SCONJ
mi	ieu	PRON
:	:	PUNCT
mas	mas	CCONJ
quant	quand	ADV
n'	non	ADV
i	i	PRON
sabi	saber	VERB
rés	res	PRON
,	,	PUNCT
<lb/>	lb	XML
Aquel	aquel	PRON
ieu	ieu	PRON
fau	far	VERB
trouba	trobar	VERB
milhou	melhor	ADJ
mestre	mèstre	NOUN
qu'	que	SCONJ
el	el	PRON
n'	non	ADV
es	èsser	VERB
:	:	PUNCT
<lb/>	lb	XML
Et	e	CCONJ
ieu	ieu	PRON
counoessi	conéisser	VERB
là	lai	ADV
calques	calque	DET
dos	2	NUM
damaiselos	damaisèl	NOUN
,	,	PUNCT
<lb/>	lb	XML
Que	qui	PRON
qant	quand	SCONJ
souletos	solet	ADJ
son	èsser	VERB
nou	non	ADV
paron	parar	VERB
pas	pas	ADV
fort	fòrt	ADV
belos	bèl	ADJ
:	:	PUNCT
<lb/>	lb	XML
Mas	mas	CCONJ
quant	quand	SCONJ
l'	lo	PRON
on	òm	PRON
veh	véser	VERB
la	lo	DET
Moro	mòre	NOUN
